0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	20	0	0	0	0	0	0	0	0	0	20	0	0	0	20	0	0	0	0	0	0	20	20	0	0	0	0	20	20	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	20	0	0	20	20	0	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	0	0	0	0	0	20	0	20	20	0	20	0	0	0	0	0	0	0	20	0	20	0	20	0	20	0	0	0	0	20	0	0	20	0	0	20	0	0	20	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	3	1	4	0	0	20	20	0	0	0	0	0	0	20	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	20	0	0	0	20	0	0	20	20	0	0	20	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	3	1	4	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	20	0	0	20	0	0	0	0	0	0	0	20	5	2	6	0	0	0	0	0	0	3	1	1	4	0	0	0	0	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	0	0	0	0	0	0	3	4	0	0	0	0	3	1	4	0	0	0	0	0	0	0	0	20	0	0	5	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	6	0	0	0	0	5	2	6	0	0	0	0	0	0
0	0	0	0	0	0	0	0	20	0	0	0	0	20	0	0	0	0	0	0	3	7	2	6	0	0	0	0	0	0	5	2	2	6	0	0	0	0	5	2	2	9	9	9	9	9	2	2	2	2	9	9	9	9	9	9	9	9	9	6	0	0	0	0	0	3	7	6	0	0	0	0	5	2	6	0	0	0	0	0	0	0	0	3	4	0	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	0	0	0	3	7	2	6	0	0	0	0	0	0
0	0	0	0	0	20	20	20	0	0	0	0	0	0	20	0	0	0	0	20	5	2	2	6	0	0	0	0	3	1	7	2	2	6	0	0	0	0	5	2	6	20	20	20	20	20	5	2	2	6	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	5	2	6	0	0	0	0	5	2	6	0	0	0	0	0	0	0	0	5	6	0	10	9	9	9	9	9	2	9	9	9	9	9	9	9	9	9	9	9	2	2	9	9	9	9	2	6	0	0	0	5	2	2	6	0	0	0	0	0	0
0	0	0	0	0	3	1	4	0	0	0	0	0	0	0	0	0	0	0	3	7	2	2	6	0	0	0	0	5	2	2	2	2	6	0	0	0	0	5	2	6	0	20	0	0	20	5	2	2	6	0	0	0	20	20	20	0	0	0	0	0	0	0	0	3	7	2	6	0	0	0	0	5	2	6	0	0	0	3	4	0	0	0	5	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	10	11	0	0	3	7	2	2	6	0	0	0	0	3	4
0	0	0	0	0	5	2	6	0	0	0	0	0	0	0	0	0	0	0	5	2	2	2	6	0	0	0	3	7	2	2	2	2	6	0	0	0	0	5	2	6	0	0	20	0	0	5	2	2	6	0	0	0	3	1	4	0	0	0	0	20	20	20	20	5	2	2	6	0	0	0	0	5	2	6	0	0	0	10	11	0	0	0	5	6	0	0	0	0	20	20	20	0	20	20	20	0	0	0	0	20	20	20	20	0	0	20	20	20	20	0	0	0	0	5	2	2	2	6	0	0	0	0	5	2
1	1	1	1	1	7	2	8	1	1	1	1	1	1	1	1	1	1	1	7	2	2	2	6	0	0	0	5	2	2	2	2	2	6	0	0	0	0	5	2	6	0	0	0	20	0	5	2	2	6	0	0	0	5	2	6	0	0	0	0	3	1	1	1	7	2	2	6	0	0	0	0	5	2	6	0	0	0	0	0	0	0	0	5	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	2	2	2	8	1	1	1	1	7	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	8	1	1	1	7	2	2	2	2	2	6	0	0	0	0	5	2	6	20	0	0	0	20	5	2	2	8	1	1	1	7	2	8	1	1	1	1	7	2	2	2	2	2	2	6	0	0	0	0	5	2	6	0	0	0	0	0	0	0	0	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	0	0	0	0	5	2	6	20	20	20	20	20	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	0	0	0	0	5	2	6	0	0	0	0	0	0	0	0	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
